market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAR27DALPOR-POR,KXNBAGAME-26MAR27DALPOR,KXNBAGAME,game_winner,Dallas at Portland Winner?,Portland,Portland,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T04:36:06Z,2026-03-28T05:00:00Z,2920207.00,0.00,1774665000,expected_expiration-150m,1774665000,0.63,0.65,0.64,0.65,103
KXNBAGAME-26MAR28SASMIL-MIL,KXNBAGAME-26MAR28SASMIL,KXNBAGAME,game_winner,San Antonio at Milwaukee Winner?,Milwaukee,Milwaukee,no,0,finalized,2026-03-26T10:06:00Z,2026-03-28T21:31:23Z,2026-03-28T22:00:00Z,2362829.00,0.00,1774726200,expected_expiration-150m,1774726200,0.04,0.05,0.045,0.05,111
KXNBAGAME-26MAR27MIACLE-MIA,KXNBAGAME-26MAR27MIACLE,KXNBAGAME,game_winner,Miami at Cleveland Winner?,Miami,Miami,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T02:21:05Z,2026-03-28T02:30:00Z,854703.00,0.00,1774656000,expected_expiration-150m,1774656000,0.18,0.19,0.185,0.2,111
KXNBAGAME-26APR04WASMIA-WAS,KXNBAGAME-26APR04WASMIA,KXNBAGAME,game_winner,Washington at Miami Winner?,Washington,Washington,no,0,finalized,2026-04-02T10:06:00Z,2026-04-04T21:46:07Z,2026-04-04T22:00:00Z,1405921.00,1142236.00,1775331000,expected_expiration-150m,1775331000,0.06,0.07,0.065,0.07,111
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,KXNBAGAME,game_winner,Miami at Cleveland Winner?,Cleveland,Cleveland,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T02:21:05Z,2026-03-28T02:30:00Z,1140164.00,0.00,1774656000,expected_expiration-150m,1774656000,0.81,0.82,0.815,0.81,111
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,KXNBAGAME,game_winner,Washington at Golden State Winner?,Golden State,Golden State,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T04:46:05Z,2026-03-28T05:00:00Z,1438994.00,0.00,1774665000,expected_expiration-150m,1774665000,0.93,0.94,0.935,0.94,106
KXNBAGAME-26APR03ORLDAL-ORL,KXNBAGAME-26APR03ORLDAL,KXNBAGAME,game_winner,Orlando at Dallas Winner?,Orlando,Orlando,yes,1,finalized,2026-04-02T04:06:00Z,2026-04-04T03:20:35Z,2026-04-04T03:30:00Z,3591783.00,2654812.00,1775264400,expected_expiration-150m,1775264400,0.79,0.8,0.795,0.8,111
KXNBAGAME-26MAR27CHIOKC-OKC,KXNBAGAME-26MAR27CHIOKC,KXNBAGAME,game_winner,Chicago at Oklahoma City Winner?,Oklahoma City,Oklahoma City,yes,1,finalized,2026-03-25T16:06:00Z,2026-03-28T02:36:20Z,2026-03-28T03:00:00Z,2272737.00,0.00,1774657800,expected_expiration-150m,1774657800,0.93,0.94,0.935,0.94,109
KXNBAGAME-26APR03UTAHOU-UTA,KXNBAGAME-26APR03UTAHOU,KXNBAGAME,game_winner,Utah at Houston Winner?,Utah,Utah,no,0,finalized,2026-04-02T04:06:00Z,2026-04-04T02:34:02Z,2026-04-04T03:00:00Z,618211.00,473378.00,1775262600,expected_expiration-150m,1775262600,0.05,0.06,0.055,0.06,109
KXNBAGAME-26MAR27NOPTOR-NOP,KXNBAGAME-26MAR27NOPTOR,KXNBAGAME,game_winner,New Orleans at Toronto Winner?,New Orleans,New Orleans,no,0,finalized,2026-03-25T16:06:00Z,2026-03-28T03:12:16Z,2026-03-28T03:30:00Z,499337.00,0.00,1774659600,expected_expiration-150m,1774659600,0.14,0.15,0.14500000000000002,0.15,106
